Pt70	0.56	0.452196	0.524834	0.0229697	
Pt71	0.568	0.451532	0.525163	0.0233057	
Pt72	0.576	0.450868	0.52549	0.0236419	
Pt73	0.584	0.450205	0.525817	0.0239784	
Pt74	0.592	0.449542	0.526143	0.024315	
Pt75	0.6	0.44888	0.526468	0.0246518	
Pt76	0.608	0.448219	0.526792	0.0249889	
Pt77	0.616	0.447558	0.527116	0.0253261	
Pt78	0.624	0.446898	0.527439	0.0256636	
Pt79	0.632	0.446238	0.527761	0.0260012	
Pt80	0.64	0.445579	0.528082	0.0263391	
Pt81	0.648	0.44492	0.528402	0.0266772	
Pt82	0.656	0.444262	0.528722	0.0270155	
Pt83	0.664	0.443605	0.529041	0.0273539	
Pt84	0.672	0.442948	0.529359	0.0276926	
Pt85	0.68	0.442292	0.529677	0.0280315	
Pt86	0.688	0.441636	0.529993	0.0283706	
Pt87	0.696	0.440981	0.530309	0.0287099	
Pt88	0.704	0.440327	0.530624	0.0290494	
Pt89	0.712	0.439673	0.530938	0.0293891	
Pt90	0.72	0.439019	0.531252	0.029729	
Pt91	0.728	0.438367	0.531564	0.0300691	
Pt92	0.736	0.437715	0.531876	0.0304094	
Pt93	0.744	0.437063	0.532187	0.0307499	
Pt94	0.752	0.436412	0.532497	0.0310906	
Pt95	0.76	0.435762	0.532807	0.0314315	
Pt96	0.768	0.435112	0.533116	0.0317726	
Pt97	0.776	0.434463	0.533424	0.0321139	
Pt98	0.784	0.433814	0.533731	0.0324554	
Pt99	0.792	0.433166	0.534037	0.0327971	
Pt100	0.8	0.432519	0.534343	0.033139	
Pt101	0.808	0.431872	0.534647	0.033481	
Pt102	0.816	0.431226	0.534951	0.0338233	
Pt103	0.824	0.43058	0.535254	0.0341658	
Pt104	0.832	0.429935	0.535557	0.0345084	
Pt105	0.84	0.42929	0.535858	0.0348513	
Pt106	0.848	0.428647	0.536159	0.0351943	
Pt107	0.856	0.428003	0.536459	0.0355376	
Pt108	0.864	0.427361	0.536758	0.035881	
Pt109	0.872	0.426719	0.537057	0.0362246	
Pt110	0.88	0.426077	0.537354	0.0365684	
Pt111	0.888	0.425437	0.537651	0.0369124	
Pt112	0.896	0.424797	0.537947	0.0372566	
Pt113	0.904	0.424157	0.538242	0.037601	
Pt114	0.912	0.423518	0.538536	0.0379456	
Pt115	0.92	0.42288	0.53883	0.0382903	
Pt116	0.928	0.422242	0.539123	0.0386353	
Pt117	0.936	0.421605	0.539415	0.0389804	
Pt118	0.944	0.420969	0.539706	0.0393257	
Pt119	0.952	0.420333	0.539996	0.0396712	
Pt120	0.96	0.419697	0.540286	0.0400169	
Pt121	0.968	0.419063	0.540574	0.0403628	
Pt122	0.976	0.418429	0.540862	0.0407088	
Pt123	0.984	0.417795	0.541149	0.0410551	
Pt124	0.992	0.417163	0.541436	0.0414015	
Pt125	1	0.416531	0.541721	0.0417481	
Pt126	1.008	0.415899	0.542006	0.0420949	
Pt127	1.016	0.415268	0.54229	0.0424419	
Pt128	1.024	0.414638	0.542573	0.0427891	
Pt129	1.032	0.414008	0.542855	0.0431364	
Pt130	1.04	0.413379	0.543137	0.0434839	
Pt131	1.048	0.412751	0.543417	0.0438316	
Pt132	1.056	0.412123	0.543697	0.0441795	
Pt133	1.064	0.411496	0.543976	0.0445275	
Pt134	1.072	0.41087	0.544254	0.0448758	
Pt135	1.08	0.410244	0.544532	0.0452242	
Pt136	1.088	0.409619	0.544808	0.0455728	
Pt137	1.096	0.408994	0.545084	0.0459215	
Pt138	1.104	0.40837	0.545359	0.0462705	
Pt139	1.112	0.407747	0.545633	0.0466196	
Pt140	1.12	0.407125	0.545907	0.0469689	
Pt141	1.128	0.406503	0.546179	0.0473184	
Pt142	1.136	0.405881	0.546451	0.047668	
Pt143	1.144	0.405261	0.546722	0.0480178	
Pt144	1.152	0.40464	0.546992	0.0483678	
Pt145	1.16	0.404021	0.547261	0.048718	
Pt146	1.168	0.403402	0.547529	0.0490683	
Pt147	1.176	0.402784	0.547797	0.0494188	
Pt148	1.184	0.402167	0.548064	0.0497695	
Pt149	1.192	0.40155	0.54833	0.0501203	
Pt150	1.2	0.400934	0.548595	0.0504713	
Pt151	1.208	0.400318	0.548859	0.0508225	
Pt152	1.216	0.399703	0.549123	0.0511739	
Pt153	1.224	0.399089	0.549386	0.0515254	
Pt154	1.232	0.398475	0.549647	0.0518771	
Pt155	1.24	0.397862	0.549909	0.0522289	
